model_key,accuracy,f1_macro,top2_accuracy,season
mlp_baseline,0.6666666666666666,0.43427377220480673,0.7666666666666667,2007-08
mlp_baseline,0.5,0.23996913580246915,0.7,2008-09
mlp_baseline,0.7,0.41609195402298843,0.8333333333333334,2009-10
mlp_baseline,0.6666666666666666,0.33809523809523806,0.7666666666666667,2010-11
mlp_baseline,0.5666666666666667,0.22798216276477146,0.7666666666666667,2011-12
mlp_baseline,0.6333333333333333,0.25476190476190474,0.7666666666666667,2012-13
mlp_baseline,0.5333333333333333,0.26190476190476186,0.8,2013-14
mlp_baseline,0.5666666666666667,0.3890704429920116,0.8666666666666667,2014-15
mlp_baseline,0.5,0.1825951825951826,0.7666666666666667,2015-16
mlp_baseline,0.7333333333333333,0.6870071684587814,0.9333333333333333,2016-17
mlp_baseline,0.5333333333333333,0.22128851540616246,0.7666666666666667,2017-18
mlp_baseline,0.6,0.3160669975186104,0.8333333333333334,2018-19
mlp_baseline,0.5333333333333333,0.23535353535353534,0.8,2019-20
mlp_baseline,0.5,0.2708333333333333,0.6666666666666666,2020-21
mlp_baseline,0.5,0.23308913308913307,0.8,2021-22
mlp_baseline,0.5,0.245999614420667,0.6333333333333333,2022-23
mlp_baseline,0.6666666666666666,0.34852801519468185,0.8,2023-24
attention_model,0.6896551724137931,0.4244444444444444,0.8275862068965517,2003-04
attention_model,0.5666666666666667,0.31603581603581604,0.7,2004-05
attention_model,0.6666666666666666,0.34386973180076624,0.8666666666666667,2005-06
attention_model,0.7,0.38135806046556553,0.7666666666666667,2006-07
attention_model,0.6666666666666666,0.345679012345679,0.8333333333333334,2007-08
attention_model,0.5666666666666667,0.33928571428571425,0.8,2008-09
attention_model,0.7333333333333333,0.5411111111111111,0.8333333333333334,2009-10
attention_model,0.6,0.30450928381962866,0.8333333333333334,2010-11
attention_model,0.6333333333333333,0.48547008547008547,0.7666666666666667,2011-12
attention_model,0.6333333333333333,0.2843915343915344,0.8,2012-13
attention_model,0.5333333333333333,0.2913614163614163,0.7333333333333333,2013-14
attention_model,0.43333333333333335,0.22142857142857145,0.7666666666666667,2014-15
attention_model,0.5666666666666667,0.2333333333333333,0.8333333333333334,2015-16
attention_model,0.8333333333333334,0.8855363984674329,1.0,2016-17
attention_model,0.6666666666666666,0.44717171717171716,0.8666666666666667,2017-18
attention_model,0.5333333333333333,0.3072803195352215,0.8333333333333334,2018-19
attention_model,0.5666666666666667,0.2648233486943164,0.8,2019-20
attention_model,0.43333333333333335,0.22222222222222224,0.7,2020-21
attention_model,0.6,0.28035714285714286,0.8,2021-22
attention_model,0.5666666666666667,0.38765432098765434,0.7,2022-23
attention_model,0.5,0.18888888888888888,0.7666666666666667,2023-24
